 | azW:1.039 | Still:0 | State:2
V:0.030 | P:-0.222 | AccMag:2.648 | azW:2.408 | Still:0 | State:2
V:0.238 | P:-0.219 | AccMag:2.803 | azW:2.430 | Still:0 | State:2
>>> STATE: CONCENTRIC
V:0.003 | P:-0.215 | AccMag:1.459 | azW:1.441 | Still:0 | State:3
V:0.048 | P:-0.214 | AccMag:0.883 | azW:0.855 | Still:0 | State:3
V:0.055 | P:-0.213 | AccMag:0.865 | azW:0.851 | Still:0 | State:3
V:0.023 | P:-0.212 | AccMag:1.069 | azW:1.046 | Still:0 | State:3
V:0.013 | P:-0.212 | AccMag:1.223 | azW:1.178 | Still:0 | State:3
V:0.034 | P:-0.212 | AccMag:1.289 | azW:1.099 | Still:0 | State:3
V:0.043 | P:-0.211 | AccMag:0.677 | azW:0.436 | Still:0 | State:3
V:-0.016 | P:-0.210 | AccMag:0.706 | azW:0.490 | Still:0 | State:3
V:-0.115 | P:-0.212 | AccMag:0.724 | azW:0.601 | Still:0 | State:3
V:-0.192 | P:-0.215 | AccMag:0.698 | azW:0.680 | Still:0 | State:3
V:-0.250 | P:-0.220 | AccMag:1.084 | azW:0.983 | Still:0 | State:3
V:-0.270 | P:-0.225 | AccMag:1.131 | azW:0.890 | Still:0 | State:3
V:-0.290 | P:-0.231 | AccMag:0.977 | azW:0.963 | Still:0 | State:3
V:-0.311 | P:-0.237 | AccMag:0.956 | azW:0.934 | Still:0 | State:3
V:-0.327 | P:-0.244 | AccMag:0.834 | azW:0.823 | Still:0 | State:3
V:-0.354 | P:-0.252 | AccMag:0.856 | azW:0.806 | Still:0 | State:3
V:-0.392 | P:-0.260 | AccMag:0.866 | azW:0.857 | Still:0 | State:3
V:-0.422 | P:-0.268 | AccMag:0.946 | azW:0.937 | Still:0 | State:3
V:-0.442 | P:-0.278 | AccMag:0.932 | azW:0.913 | Still:0 | State:3
V:-0.460 | P:-0.287 | AccMag:1.050 | azW:1.026 | Still:0 | State:3
V:-0.465 | P:-0.297 | AccMag:1.288 | azW:1.286 | Still:0 | State:3
V:-0.437 | P:-0.307 | AccMag:1.057 | azW:0.994 | Still:0 | State:3
V:-0.429 | P:-0.316 | AccMag:1.055 | azW:1.035 | Still:0 | State:3
V:-0.431 | P:-0.326 | AccMag:0.995 | azW:0.977 | Still:0 | State:3
V:-0.438 | P:-0.335 | AccMag:1.081 | azW:1.078 | Still:0 | State:3
V:-0.434 | P:-0.344 | AccMag:1.067 | azW:1.064 | Still:0 | State:3
V:-0.426 | P:-0.354 | AccMag:1.019 | azW:1.011 | Still:0 | State:3
V:-0.426 | P:-0.363 | AccMag:0.953 | azW:0.936 | Still:0 | State:3
V:-0.438 | P:-0.372 | AccMag:0.979 | azW:0.970 | Still:0 | State:3
V:-0.448 | P:-0.382 | AccMag:1.075 | azW:1.075 | Still:0 | State:3
V:-0.445 | P:-0.391 | AccMag:1.018 | azW:1.017 | Still:0 | State:3
V:-0.446 | P:-0.400 | AccMag:0.972 | azW:0.968 | Still:0 | State:3
V:-0.457 | P:-0.410 | AccMag:0.970 | azW:0.970 | Still:0 | State:3
V:-0.471 | P:-0.420 | AccMag:1.036 | azW:1.036 | Still:0 | State:3
V:-0.475 | P:-0.430 | AccMag:1.041 | azW:1.041 | Still:0 | State:3
V:-0.472 | P:-0.440 | AccMag:1.091 | azW:1.091 | Still:0 | State:3
V:-0.464 | P:-0.450 | AccMag:1.073 | azW:1.073 | Still:0 | State:3
V:-0.457 | P:-0.460 | AccMag:1.055 | azW:1.055 | Still:0 | State:3
V:-0.452 | P:-0.470 | AccMag:1.053 | azW:1.053 | Still:0 | State:3
V:-0.449 | P:-0.479 | AccMag:1.069 | azW:1.069 | Still:0 | State:3
V:-0.444 | P:-0.489 | AccMag:1.046 | azW:1.046 | Still:0 | State:3
V:-0.440 | P:-0.498 | AccMag:1.031 | azW:1.031 | Still:0 | State:3
V:-0.439 | P:-0.508 | AccMag:1.042 | azW:1.041 | Still:0 | State:3
V:-0.438 | P:-0.517 | AccMag:1.046 | azW:1.045 | Still:0 | State:3
V:-0.437 | P:-0.527 | AccMag:0.988 | azW:0.985 | Still:0 | State:3
V:-0.440 | P:-0.536 | AccMag:0.964 | azW:0.963 | Still:0 | State:3
V:-0.449 | P:-0.545 | AccMag:1.027 | azW:1.027 | Still:0 | State:3
V:-0.454 | P:-0.555 | AccMag:1.068 | azW:1.066 | Still:0 | State:3
V:-0.451 | P:-0.565 | AccMag:1.062 | azW:1.059 | Still:0 | State:3
V:-0.446 | P:-0.574 | AccMag:1.035 | azW:1.035 | Still:0 | State:3
V:-0.444 | P:-0.584 | AccMag:1.022 | azW:1.022 | Still:0 | State:3
V:-0.446 | P:-0.593 | AccMag:0.998 | azW:0.997 | Still:0 | State:3
V:-0.451 | P:-0.602 | AccMag:1.012 | azW:1.012 | Still:0 | State:3
V:-0.456 | P:-0.612 | AccMag:1.028 | azW:1.023 | Still:0 | State:3
V:-0.458 | P:-0.622 | AccMag:1.031 | azW:1.031 | Still:0 | State:3
V:-0.459 | P:-0.632 | AccMag:1.040 | azW:1.040 | Still:0 | State:3
